release_date,weighted_gamma,gamma,n_word,n_document
2014-12-29,0.02598588419136981,0.027197463328222392,6451,19
2014-12-30,0.18064747973920398,0.13473054341709648,8995,19
2014-12-31,0.09621193860870993,0.06229441752229768,3877,13
2015-01-01,0.005981672946896452,0.007585192283608022,1151,4
2015-01-02,0.040440671793834246,0.06468878268923725,2652,10
2015-01-03,0.06764503039421015,0.10435948380806263,1761,4
2015-01-04,0.05315548926589932,0.069491048836484,4949,11
2015-01-05,0.02899042533976939,0.023260257621647504,8300,28
2015-01-06,0.08206984354879326,0.05372681975836315,11421,32
2015-01-07,0.04507803824300635,0.03057233750001072,10194,28
2015-01-08,0.0362510015257485,0.027659553086731736,6932,24
2015-01-09,0.05319627186962998,0.04710827767235516,9363,22
2015-01-10,0.022361450386606915,0.016383679644023968,451,2
2015-01-11,0.03833652151483249,0.049538846356096976,9129,17
2015-01-12,0.06095252415077663,0.027439210453518572,10584,27
2015-01-13,0.04708520540807081,0.05002251271405759,13788,40
2015-01-14,0.038036147194363795,0.030638862994060836,11451,35
2015-01-15,0.06110458642429574,0.05276870294163434,13861,46
2015-01-16,0.02676021758340455,0.033873880273776504,8105,23
2015-01-17,0.0035600734664500843,0.004419536563725613,982,3
2015-01-18,0.030387659523189624,0.02778958350670095,8967,18
2015-01-19,0.02215523733735111,0.02890117869748134,5361,15
2015-01-20,0.05314837278435976,0.054613445955884535,17603,48
2015-01-21,0.11026495440809703,0.072977938513599655,13533,48
2015-01-22,0.022529069126652874,0.01948238890707831,9057,33
2015-01-23,0.027679865322023028,0.03609348438713661,8504,23
2015-01-24,0.012377715934078543,0.01069376442574398,1058,3
2015-01-25,0.025240454965546638,0.03996412595866555,5961,18
2015-01-26,0.03059709541354331,0.02667615634650763,9630,30
2015-01-27,0.07351926132731926,0.047338154872396315,19367,62
2015-01-28,0.063308225651606,0.047370864351740934,15437,53
2015-01-29,0.06441327463929959,0.05486195018076117,14211,45
2015-01-30,0.056759239812522504,0.052271504573526056,7887,29
2015-01-31,0.11162151274997029,0.1148579254065749,7052,18
2015-02-01,0.056145511179689286,0.059107660232430824,11633,21
2015-02-02,0.03762722910230344,0.04459977733849067,12621,41
2015-02-03,0.0892333329562642,0.06320289603938818,14817,47
2015-02-04,0.06858190310927789,0.06006958224871715,14185,53
2015-02-05,0.028327540200033745,0.03518660503839397,12320,50
2015-02-06,0.0584134783826509,0.053133732872354074,8289,32
2015-02-07,0.029836097597190914,0.031579928226609086,1116,4
2015-02-08,0.027569561460184522,0.021433350922941036,7764,18
2015-02-09,0.07697087839635251,0.05773430039645258,7833,27
2015-02-10,0.04220092674907993,0.04019465704266717,15045,44
2015-02-11,0.06672991054545069,0.04672683871621978,16261,53
2015-02-12,0.058755195127309444,0.043557072134625445,10589,39
2015-02-13,0.04011792646660536,0.0498997256257777,8144,25
2015-02-14,0.028740204813233,0.0228362073995018,1838,8
2015-02-15,0.040580233626128004,0.058383380493314686,10055,16
2015-02-16,0.08486329707552087,0.08305751835615496,8339,21
2015-02-17,0.0694190798528618,0.06884591985054085,9265,27
2015-02-18,0.09924022317450232,0.09373431269414448,15315,49
2015-02-19,0.03900995622591807,0.04155964423780326,15275,44
2015-02-20,0.06128853627083364,0.053297106431749376,12706,39
2015-02-21,0.24938387748647317,0.18433577956601982,3226,8
2015-02-22,0.03903311797712174,0.049810589467222235,11823,26
2015-02-23,0.04292695110392205,0.05593014775850228,13101,37
2015-02-24,0.06426197414933221,0.05900061784979997,12244,43
2015-02-25,0.05739954884978787,0.04694168418882917,10911,39
2015-02-26,0.03685801328109644,0.03861878197991927,14706,44
2015-02-27,0.02470722678121686,0.04582160009814324,9520,33
2015-02-28,0.03175524504059563,0.05660230564932784,1766,6
2015-03-01,0.07142411308748314,0.06858226341358081,17917,22
2015-03-02,0.04279796972479272,0.04460699006751499,14707,48
2015-03-03,0.03488713392938406,0.03758678974512052,15819,54
2015-03-04,0.03609717359263197,0.03576748624171375,12240,39
2015-03-05,0.06215545191300465,0.04693291006746375,10843,40
2015-03-06,0.02964014246483247,0.03840588842901703,7931,27
2015-03-07,0.004884209624751778,0.004874165534850924,1571,4
2015-03-08,0.026569846148768242,0.025292871947367207,8932,22
2015-03-09,0.03357361176134834,0.03771083737719735,13899,46
2015-03-10,0.03860486974458282,0.03371127380300426,16890,56
2015-03-11,0.044847865824203956,0.037838020576471565,11808,41
2015-03-12,0.03213993656582941,0.036313825715222105,13959,44
2015-03-13,0.06998623750454289,0.06018864466868543,11147,35
2015-03-14,0.1706783528482918,0.16775754486786268,411,3
2015-03-15,0.050343796772177714,0.03889167100998057,11433,27
2015-03-16,0.029934263603045422,0.03453774281020073,13521,46
2015-03-17,0.08921058622678213,0.07831227152311024,16162,55
2015-03-18,0.04668378197719074,0.038233131300662325,21284,69
2015-03-19,0.05018302801458642,0.06232967365728806,13196,44
2015-03-20,0.023897818260215385,0.023371595855618536,13670,41
2015-03-21,0.09818360326583143,0.07595354501002452,946,4
2015-03-22,0.05517127480072014,0.05369534258804607,8120,22
2015-03-23,0.06902094389047383,0.07243548158625941,15556,45
2015-03-24,0.06521421165128624,0.04905135417106957,16227,46
2015-03-25,0.05208469998907705,0.05435882586370139,11630,45
2015-03-26,0.03818302780155503,0.03865917286912136,15162,50
2015-03-27,0.11008023313843308,0.09302483614848245,14245,38
2015-03-28,0.05537862336948062,0.07148673732219556,3715,8
2015-03-29,0.05559633379877791,0.05545976277247121,10559,24
2015-03-30,0.06575389767608272,0.05980833149374609,13165,43
2015-03-31,0.05684221926891791,0.055222992526024396,18777,57
2015-04-01,0.025587759216859456,0.026503693537710146,11130,47
2015-04-02,0.05661687134209731,0.04729550882497864,14779,58
2015-04-03,0.11152934221857215,0.11375197622118019,6517,13
2015-04-04,0.02669051362065195,0.017524471598827605,639,2
2015-04-05,0.034271400819035944,0.04704656658086033,10162,20
2015-04-06,0.0601531499507101,0.07263021135513556,12201,37
2015-04-07,0.05069389561191095,0.05969635913205689,13652,46
2015-04-08,0.07702050826512094,0.0728747388179446,16812,51
2015-04-09,0.06057575183011207,0.06841194819949141,12477,42
2015-04-10,0.051255292994839545,0.04503987596221447,11724,35
2015-04-11,0.08850054765750807,0.08476165259363497,1497,5
2015-04-12,0.0515951259989692,0.05825447385532291,12245,23
2015-04-13,0.05015497846492053,0.04426434044673367,19886,56
2015-04-14,0.024802437364589924,0.02927628757588555,22785,67
2015-04-15,0.04720200906569948,0.04330918274567075,17302,52
2015-04-16,0.03765018638530012,0.03029355646268582,14064,56
2015-04-17,0.06434826687022097,0.05706947364183907,12052,39
2015-04-18,0.026044063692421338,0.02092876409891166,2241,8
2015-04-19,0.043418116335612225,0.0472158812994092,11821,31
2015-04-20,0.0804093203253776,0.0753113590534528,14005,46
2015-04-21,0.04039774183428723,0.04392676962259371,17185,62
2015-04-22,0.04553039554655912,0.035540438478273755,18999,67
2015-04-23,0.0533448717974611,0.04930226281799024,15849,54
2015-04-24,0.02832774892498417,0.030691603246462276,12790,38
2015-04-25,0.03671702511196282,0.04757003260175926,3036,9
2015-04-26,0.02097518259297575,0.03488079962358438,11670,21
2015-04-27,0.018926314225324304,0.01964897004495423,22018,63
2015-04-28,0.019361483207236532,0.016564440471594024,15428,54
2015-04-29,0.030037969836007122,0.02957057445812896,16012,60
2015-04-30,0.0510982273363316,0.05787665873375125,16722,53
2015-05-01,0.06852559406721549,0.06523702059631227,10771,32
2015-05-02,0.0531835350679403,0.060123977608032245,1606,4
2015-05-03,0.08598947328453323,0.0728600897803841,7752,18
2015-05-04,0.05340128025151335,0.04485228196466291,17637,67
2015-05-05,0.03424289796345701,0.030131417063361542,17058,49
2015-05-06,0.08182601876972824,0.0689073732369213,14173,49
2015-05-07,0.09467554699812301,0.06457949570100331,17800,54
2015-05-08,0.04365413698465976,0.05456338489773353,18287,51
2015-05-09,0.057910417348354594,0.06960683029909276,1211,4
2015-05-10,0.051449107478854936,0.04400431491316379,7506,26
2015-05-11,0.05801910513589605,0.049952113363838584,12572,45
2015-05-12,0.06256728896402447,0.05258652962542079,13996,49
2015-05-13,0.014756508968096474,0.016256066373654603,14013,54
2015-05-14,0.049975296658023846,0.03377470040210116,15931,53
2015-05-15,0.06763112948950037,0.052288787049143956,14927,47
2015-05-16,0.10177269343172911,0.08384114481261193,1496,5
2015-05-17,0.013021851537132626,0.01661289822181518,9332,17
2015-05-18,0.080787152974114207,0.06102136171301433,11371,44
2015-05-19,0.05505546944200071,0.05536004874442703,18819,57
2015-05-20,0.04865037489984952,0.042126246950019805,16601,60
2015-05-21,0.045491678707298235,0.0502982885020712,17616,53
2015-05-22,0.05774510058352033,0.057837108171402925,11467,33
2015-05-23,0.05149518955948906,0.04903237876878738,511,2
2015-05-24,0.02929960574491884,0.036321208504570164,6619,17
2015-05-25,0.09526708608520362,0.06125655186952678,7881,19
2015-05-26,0.0420289736698224,0.05077346817073299,16894,47
2015-05-27,0.06792081578948063,0.0422934797777898,15622,50
2015-05-28,0.03926552943923303,0.03267483887735129,18568,56
2015-05-29,0.04762002132608677,0.04294543907495241,12959,37
2015-05-30,0.0020827210711009763,0.0020827210711009763,423,1
2015-05-31,0.025477634978551888,0.02006333058274953,7270,24
2015-06-01,0.04895786171232129,0.043381290795919965,19702,48
2015-06-02,0.05388507304671258,0.0543153812924405,15897,45
2015-06-03,0.0346601694809186,0.0364501950327886,12104,38
2015-06-04,0.049058365997231915,0.043837541165716976,12501,41
2015-06-05,0.06037885216030752,0.06209207074020526,17205,40
2015-06-06,0.243174713457757,0.23066401765221578,1363,4
2015-06-07,0.07005700148045395,0.0724992363894792,11652,24
2015-06-08,0.054159448661502116,0.05366019703278185,12853,36
2015-06-09,0.030715691947676677,0.044614904409915335,15155,45
2015-06-10,0.05046432308852362,0.030280559995460997,10357,36
2015-06-11,0.035787087828284346,0.034516826700955586,13464,45
2015-06-12,0.05828078522271339,0.06326147788549315,10787,35
2015-06-13,0.003818460776159009,0.003931109388058062,474,3
2015-06-14,0.06772313399001571,0.06433123288319252,9638,20
2015-06-15,0.046796072625615595,0.04229420883290634,15234,43
2015-06-16,0.04841847882651218,0.05164721169619416,8897,36
2015-06-17,0.024323557912899543,0.024771238045816987,12529,43
2015-06-18,0.07509310118539095,0.05524252453592684,13281,40
2015-06-19,0.033352394054531616,0.02654197408504048,9024,31
2015-06-20,0.009849573401079703,0.009849573401079703,163,1
2015-06-21,0.07744744396981314,0.06215325522476469,9023,27
2015-06-22,0.03440445559582291,0.04441006405573059,12118,36
2015-06-23,0.04503743049885647,0.03721974418611624,16810,45
2015-06-24,0.05682317743514782,0.039216925064464773,10022,32
2015-06-25,0.035146125833497396,0.03783451485890792,11984,42
2015-06-26,0.03353792129405936,0.03868911337819614,12789,37
2015-06-27,0.017864929879350396,0.01358808755473613,221,2
2015-06-28,0.029006235913700724,0.030781585247925847,8873,16
2015-06-29,0.05765891788378218,0.04208739772060744,8369,36
2015-06-30,0.026697745912643425,0.02350645189617947,12357,50
2015-07-01,0.08611737020377366,0.058765047529914176,10796,40
2015-07-02,0.03458324290601831,0.03713720140494777,14484,42
2015-07-03,0.08166771156337875,0.072289489104855,6077,19
2015-07-04,0.026711897115206638,0.029465057327776354,1001,3
2015-07-05,0.0501176267281956,0.0791860349075303,11830,21
2015-07-06,0.04850649722457415,0.06261649145800388,12404,38
2015-07-07,0.0389547290923124,0.03846443469103099,10991,33
2015-07-08,0.04886628948843901,0.04095326878071514,15736,53
2015-07-09,0.05947603311274796,0.054549742606350156,14429,41
2015-07-10,0.04355413509802791,0.040470714923690594,19113,44
2015-07-11,0.005544845380414183,0.006114099033862634,2207,5
2015-07-12,0.019681855209410546,0.023656995643510995,14439,19
2015-07-13,0.06166479037699229,0.056051082338934195,15151,44
2015-07-14,0.07439811151373966,0.07891940501196872,21159,65
2015-07-15,0.051798102144192275,0.052230431958249744,13902,51
2015-07-16,0.07266456736895487,0.07114041681207625,20562,60
2015-07-17,0.03745807900521848,0.03196572117709465,14779,45
2015-07-18,0.005235024186311232,0.005235024186311232,119,1
2015-07-19,0.06186788145396132,0.0794546782573397,10633,19
2015-07-20,0.07187514257895679,0.06697518964962272,17283,59
2015-07-21,0.043144515946772634,0.04048663184275816,18850,58
2015-07-22,0.02970817984946669,0.02946538249196693,23948,74
2015-07-23,0.034558893012457265,0.03252631135048275,22792,77
2015-07-24,0.03417424200650306,0.033980143120161045,12958,42
2015-07-25,0.021571910958190315,0.021209110257670135,822,4
2015-07-26,0.03633845832758379,0.04722172228388859,11248,25
2015-07-27,0.06814090982190474,0.06712195498837238,18456,54
2015-07-28,0.049450446376424734,0.05743775035538645,18108,56
2015-07-29,0.043680042898440435,0.0337051211135096,13318,46
2015-07-30,0.06416758147604885,0.06507527304695293,23387,66
2015-07-31,0.05601206459171519,0.05428871848488948,11880,35
2015-08-01,0.05101181160029538,0.05101181160029538,262,1
2015-08-02,0.05878938501731112,0.07523463206622044,9048,20
2015-08-03,0.06673754749750661,0.06788254217775956,17748,47
2015-08-04,0.07255429073448524,0.052600359980463085,20307,64
2015-08-05,0.074141030562561,0.0502001568969284,21050,67
2015-08-06,0.027039349474430777,0.02509960437130542,19713,65
2015-08-07,0.03355070181670699,0.030318555329408286,12479,34
2015-08-08,0.09810406572492067,0.0907423090599273,1322,5
2015-08-09,0.037163645632494725,0.053075004683494714,6817,14
2015-08-10,0.049391635204937105,0.03952922448910702,17687,51
2015-08-11,0.09081500759359003,0.06871572969437605,12513,43
2015-08-12,0.03296151617829057,0.030392765648842825,14983,46
2015-08-13,0.05612879781582449,0.05076775211594418,17540,51
2015-08-14,0.07899922030767122,0.07960550362500787,9529,28
2015-08-15,0.02739173808805145,0.022494660421828228,854,4
2015-08-16,0.03518333512923717,0.03656605608331099,5267,15
2015-08-17,0.04836301473536754,0.040543568983248485,16625,49
2015-08-18,0.025665093369689054,0.0153550428653614,12658,44
2015-08-19,0.08518203052028378,0.055103072821641834,15957,43
2015-08-20,0.07669422390005115,0.06393939246993044,12800,40
2015-08-21,0.03990639518607212,0.04623850707188346,13027,34
2015-08-22,0.0032653591970039897,0.0032460154784465563,250,2
2015-08-23,0.03050536985654874,0.041753733287990764,9226,18
2015-08-24,0.052774934537080716,0.06586108039667533,13671,35
2015-08-25,0.06485785445608169,0.0619114205188323,14248,33
2015-08-26,0.062187522265506036,0.0593872968768412,13322,46
2015-08-27,0.06585747904161378,0.05160833615341552,13810,43
2015-08-28,0.033461876328354165,0.04010266592009854,14759,36
2015-08-29,0.002007251383229824,0.003986297754897481,1930,3
2015-08-30,0.009312493962335895,0.012957081643559278,16100,22
2015-08-31,0.03661584843180343,0.04074241221615303,9359,30
2015-09-01,0.09379507581437786,0.06564643826329557,13578,38
2015-09-02,0.07897502506723514,0.06989730632927023,11775,40
2015-09-03,0.06322408078052959,0.039652715550470397,15414,43
2015-09-04,0.06291887104864226,0.054715946213951136,11270,31
2015-09-06,0.038573535051735504,0.049280017101696966,8767,17
2015-09-07,0.03415953597079533,0.025509820030914516,6373,21
2015-09-08,0.07676149423212514,0.06900274175691459,18110,55
2015-09-09,0.03755746180643578,0.03546222924692408,10843,39
2015-09-10,0.028150726328770227,0.03349592746937522,13697,49
2015-09-11,0.09821238358557796,0.055295682698383156,9994,32
2015-09-13,0.025295322089900832,0.02362594982500749,11838,25
2015-09-14,0.05596881047718404,0.048234068854330875,10176,37
2015-09-15,0.06038986504844663,0.04573385187285446,17358,49
2015-09-16,0.021589346841457347,0.022901299087082518,20581,59
2015-09-17,0.05566613792782435,0.049411333948842014,13834,44
2015-09-18,0.03359513219920779,0.030173749301012503,12647,38
2015-09-19,0.008695720436987228,0.008914621287355057,2258,6
2015-09-20,0.021614243863918595,0.02933122928737639,9888,18
2015-09-21,0.04507004393226394,0.033557026744761076,13423,40
2015-09-22,0.043486847791756045,0.04458548797593207,18617,52
2015-09-23,0.04852919738381012,0.056658304290661383,9902,26
2015-09-24,0.07298437824138175,0.061093597717801526,14250,51
2015-09-25,0.03846066356252234,0.05218641310075672,8691,24
2015-09-26,0.05712560401626166,0.10116510417059409,2689,6
