time,weighted_gamma,gamma,n_word,n_document
2019-05-01,0.037818434375313216,0.03654661261250659,1961749,5206
2019-06-01,0.04475735995818804,0.0438557316349284,1552036,4221
2019-07-01,0.03280728165231014,0.03204305268834526,2071499,5486
2019-08-01,0.03932130659010961,0.0391807107935817,1777615,4761
2019-09-01,0.04885454541636899,0.04855952815953786,1560915,4127
2019-10-01,0.03377902588408459,0.03478312985374392,2078948,5602
2019-11-01,0.03258038920186728,0.03278654993566651,1583133,4285
2019-12-01,0.03604684942380547,0.03740299539784127,1527366,4314
2020-01-01,0.0339388205690766,0.03641331899049163,3389216,7583
2020-02-01,0.02749480388595178,0.031876691845097234,908215,1763
